Recall_Number,Date,Year,Trade_Name,Recalling_Firm,Recall_Class,Reason_Recall,Fault_Class,Failure_Mode,Action,Action_Category,Quantity_Full, Quantity_Short
Z-0863-06,May-16-2006,2006,CONTAK RENEWAL 3 RF & 4 RF - CONTAK RENEWAL 3 RF (models H210; H215); CONTAK RENEWAL 3 RF HE (models H217; H219); CONTAK RENEWAL 4 RF (models H230; H235) CONTAK RENEWAL 4 RF HE (model H239) cardiac resynchronization therapy defibrillator (CRT-D); provide ventricular tachyarrhythmia and cardiac resynchronization therapies.  Ventricular tachyarrhythmia therapy is for the treatment of ventricualar tachycardia (VT) and ventricular fibrillation (VF); rhythms that are associated with suden cardiac death (SCD).  Cardiac resynchronization therapy is for the treatment of heart failure (HF) and uses biventricular electrical stimulation to synchronize ventricular contractions.    The device also uses accelerometer-based adaptive-rate bradycardia therapy.   These CONTAK RENEWAL RF devices feature enhanced telemetry communication with wandless ZIP telemetry.  Cardioversion/defibrillation therapies include a range of low- and high-energy shocks using either a biphasic or monophasic waveform.  Guidant Corporation; 4100 Hamline Avenue North; St. Paul; MN  55112-5798 USA.,Guidant Corporation,3,Guidant received 39 reports of devices that exhibited lower than expected battery voltage prior to implant; none of these devices were implanted.,Battery,N/A,"Affected physicians were sent an Urgent Medical Device Safety Information & Corrective Action letter, dated 05/11/06.  A press release was issued March 13, 2006 The letter describes the issue and emphasizes the importance of checking battery voltage prior to implant as stated in device labeling.  For implanted devices, continue normal follow-up.",Instructions,8879,8879
Z-0005-2007,Oct-03-2006,2006,Stryker Navigation System - Stryker Navigation System; eNlite System with Dell laptop computer model D800; Stryker # 7700-300-000.,Stryker Instruments Div. of Stryker Corporation,2,A component of the device is a Dell laptop computer; which contains batteries that are under recall because they can overheat and cause a fire.,Battery,Physical Safety Hazards,"A recall letter dated 9/8/06 was sent to each customer instructing them to remove the battery from their Dell laptop computer model D800, to check the batteries to determine whether they are affected by the recall, and to only use the computer on AC power until they have requested and received replacement batteries.",Replace Battery,218 units for Recalls Z-0005/0008-2007,218
Z-0859-06,May-10-2006,2006,Electrosurgical; cutting & coagulation & accessories. - Cool-tip RF Generator; for use in percutaneous; laparoscopic; intraoperative coagulation and ablation of tissue.,Covidien LP,2,Electrosurgical ablation device may experience loss of power during use; when used with Cool-tip Switching controller in ablation mode.,Battery,N/A,Consignees were notified by telephone followed by a fax on 04/21/2006.,Notification,137 units,137
Z-0201-2007,Nov-21-2006,2006,Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer - Datex-Ohmeda Tec 6 Plus Desflurane Vaporizer.  It is an electronic vaporizer which delivers the anesthetic agent desflurane.,Datex - Ohmeda; Inc,2,There is a possibility of a vaporizer power failure; with audible and visual alarms; when using the Tec 6 Plus Desflurane Vaporizer.,Battery,N/A,"An Urgent Medical Device Correction letter dated September 15, 2006, was sent to affected customers.  The letter describes the issue, states that a GE representative will contact affected accounts to arrange for the vaporizer exchange at no charge.",Replace,93,93
Z-0220-2007,Nov-28-2006,2006,Konica Minolta PrintLink III - Konica Minolta PrintLink III Model  - ID/IV; code  no. 0770; 0771  Medical Imaging Communication DeviceModel IV - product code 5000230 Model ID; product code 5000330Konica Minolta Medical & Graphic; Inc.No. 26-2; Nishishinjuku 1-chrome; Shinjuku-ku; Tokoyo 163-0512;  Japan,Konica Minolta Medical Imaging USA; Inc.,2,The power supply of a unit located in Japan overheated and caused a smoke condition and a small amount of flame coming off the unit.,Battery,Physical Safety Hazards,"Letters were sent to all customers by first class US mail, certified receipt requested on 10/10/2006. Customers were also notified by fax and e-mail and a phone call on the same day.",Notification,91 units,91
Z-0444-06,Jan-31-2006,2006,Colleague and Colleague CX Volumetric Infusion Pumps - Baxter Colleague Single Channel Volumetric Infusion Pumps; Baxter Healthcare Corporation; Medication Delivery Division; Deerfield; IL 60015 U.S.A.; Made in Singapore; product codes 2M8151; 2M8151R; BRM8151(Brazilian Portugese); DNM8151(French); HNM8151(German); PNM8151(Spanish); CNM8151(Swedish); GNM8151(Danish); TRM8151(Turkish); WNM8151(Dutch) ; 2M8161; 2M8161R,Baxter Healthcare Corp.,1,Interruption of therapy due to battery undercharging; the generation of air-in-line alarms due to IV administration set tugging; and gearbox wear; and underinfusion due to misalignment of the pump head components.,Battery,Treatment/Delivery/Therapy,"Baxter sent the 12/13/05 Urgent Device Correction letter to all Colleague Infusion Pump customers, to the attention of the Director of Nursing and the Biomedical Engineer, via first class mail to alert them to additional problems with the pump that may interrupt therapy.  These issues include battery undercharging, generation of false air detected alarms due to IV administration set tugging, gearbox wear, underinfusion and non-detection of upstream occlusions.  The letters included mitigating instructions to reduce the occurrence of these potential problems, and included a copy of the Battery Usage Guide, Infusion Management Guide, and the March 17, 2005 Buretrol Set Urgent Device Correction letter to be provided to all users of the Colleague pump.  Baxter informed the accounts that they would be notified when the new release of the Colleague Volumetric Infusion Pump Operator''s Manual is available.  Any questions were directed to Baxter''s Medication Delivery Services at 1-800-843-7867.",Instructions,"152,260 pumps",152260
Z-1413-06,Sep-12-2006,2006,D-tron - Disetronic D-TRONplus Insulin Pump Battery Pack; Ref/Catalog no. 04697014001.,Disetronic Medical Systems; Inc.,1,The battery may turn the pump off without warning due to a design change in the battery.,Battery,Device Operation,"Press release was issued on 7/13/06.  Consignees, distributors and health care providers were issued a recall notice dated 7/13/06 instructing replacement of the power pack every two weeks until further notice.",Replace,"6,604 packs to U.S. and Canada.",6604
Z-1522-06,Sep-23-2006,2006,Medline Strider Midi 3 Scooter - Medline Strider Midi 3 Scooter; a three wheeled battery operated scooter; manufactured by KYMCO; Kaohsiung; Taiwan for Medline Industries; Inc.; One Medline Place; Mudelein; IL 60060 USA; model MDS807500 - red and MDS807500B - blue,Medline Industries Inc,3,The P&G Solo 60A electronic control unit on the Midi Scooters may overheat.,Hardware,N/A,"Medline sent 'Voluntary Field Correction' letters dated 7/20/06 to the direct accounts on the same date, informing them that the Strider Midi 3 and Midi  4 scooters have an older version of the electronic control unit that may overheat, which Medline will replace with a newer version of the controller.  Any questions were directed to 800-289-9793, press 1, then press 3 and ask to transfer to 4674 (8:00 AM to 5:00 PM CST).",Replace,269 scooters,269
Z-0718-06,Apr-07-2006,2006,Knee navigation trackers. - AxiEM EM Knee Kit; and associated workstation.,Medtronic Navigation; Inc,3,Knee Navigation Disposable Kits were programmed with an incorrect identification number on the tracker ROM chip which would not permit navigation during surgery.,Hardware,Treatment/Delivery/Therapy,Medtronic field personnel were notified by letter on 02/01/2006 and instructed to immediately contact each affected site and schedule an upgrade with the revised firmware.,Firmware update,84 kits,84
Z-1453-06,Aug-29-2006,2006,TCm monitoring system - TCM4 Series Monitoring System (Base Unit) 391-876 (affected device) CompactFlash cards: 914-698 (Defective Device Component),Radiometer America Inc,3,System shut down-When the TCM Monitor is turned on and the booting process begins; the device stops after the memory count and will not proceed further.,Hardware,Device Operation,"The firm began a recall/corrective action in response to this component defect on 4/7/2006, at which time, the firm issued a Field Action Notes memo (915-234).  The firm is having their representatives: 1) assure that the use of the CompactFlashcards manufactured by Simple Tech has been discontinued at each customer location; 2) Replaace the CompactFlash card in all basic Units, 391-876, of R0036 through R0043; and 3) replace any spare part #914-698, which has been installed in Basic Units, 391--876, below R0036. Once completed, the firm has supplied their customers with a TELEFAX form to be completed, signed and dated by each customerand faxed back to Radiometer Medical ApS. The form documents that the instructions provided in theField Action Notes have been followed and that the necessary component replacements have been completed. The firm anticipates that the necesary corrective action will be completed by 7/1/2006.",Replace component,61 in U.S.  7 in Canada,68
